# Recovered from transcript, pre-archive era (before sweep2, 2026-09-01).
# Bench-format lines recovered from pre-archive development notes on
# 2026-09-02; some lines truncated where the transcript cut them. The
# 21939-straight rows are real-galaxy Wongi<->Colonia. Notable A/B for the
# eager-vs-lean dispute (2026-08-28): eager up to 91j/35 stops and the
# 100-118j/19-31 stop family vs lean 55j/3 stops -- no 60+ stop row exists;
# 'stops in the 60s' likely collides with jumps-in-the-60s rows (60-66j).
# columns: timestamp  session  line
2026-08-26T04:02  260d96ed  1 jumps, 3 min, age 118h/101h
2026-08-26T04:02  260d96ed  1 jumps, 3 min, age 118h/391h
2026-08-26T04:02  260d96ed  1 jumps, 3 min, age 118h/429h
2026-08-26T04:02  260d96ed  1 jumps, 3 min, age 118h/585h
2026-08-26T04:02  260d96ed  2 jumps, 3 min, age 118h/110h
2026-08-26T04:02  260d96ed  2 jumps, 3 min, age 118h/245h
2026-08-26T04:02  260d96ed  2 jumps, 3 min, age 118h/370h
2026-08-26T04:02  260d96ed  2 jumps, 3 min, age 118h/493h
2026-08-26T04:02  260d96ed  2 jumps, 3 min, age 118h/577h
2026-08-26T04:02  260d96ed  2 jumps, 3 min, age 118h/81h
2026-08-26T04:02  260d96ed  2 jumps, 4 min, age 118h/248h
2026-08-26T04:02  260d96ed  3 jumps, 4 min, age 118h/95h
2026-08-26T13:30  260d96ed  1 jumps, 4 min, age 127h/111h
2026-08-26T13:30  260d96ed  2 jumps, 4 min, age 127h/4h
2026-08-26T13:30  260d96ed  3 jumps, 5 min, age 127h/105h
2026-08-26T15:48  260d96ed  5 jumps, 164.8 ly flown (157.3 ly straight), 0 boosted, 35 expansions, 1 ms
2026-08-26T15:49  260d96ed  5 jumps, 164.8 ly) in 1ms. I need to fix a commit that accidentally included the research agent's worktree directory, then I'll start the full-galaxy stream.
2026-08-26T16:29  260d96ed  4 jumps, 146.8 ly flown (142.8 ly straight), 0 boosted, 4 expansions, 0 ms
2026-08-26T16:32  260d96ed  4 jumps, but afaict we aren't using boosted jumps and the game is for some reason
2026-08-26T16:34  260d96ed  4 jumps, 146.8 ly flown (142.8 ly straight), 0 boosted, 18 expansions, 2 ms
